#signalNumber pressure[MPa] length[mm]
1046 0.218526 105.467097
1047 0.333301 102.814333
1048 0.118211 105.557294
1049 0.4409 98.148254
1050 0.315012 97.716598
1051 0.326724 97.713376
1052 0.455459 97.645729
1053 0.064204 106.534969
1054 0.188614 106.396451
1055 0.090425 106.555908
1056 0.125446 106.575236
1057 0.273964 105.119193
1058 0.486166 96.397471
1059 0.397787 96.296
1060 0.234396 98.386631
1061 0.093736 106.080761
1062 0.047183 107.768741
1063 0.467862 99.264439
1064 0.318813 98.038729
1065 0.176898 101.757739
1066 0.395705 100.052051
1067 0.051676 106.837774
1068 0.270314 104.971012
1069 0.362417 102.382676
1070 0.448443 97.099717
1071 0.02282 107.245274
1072 0.009282 108.527367
1073 0.318989 104.602169
1074 0.23808 104.634383
1075 0.498724 95.455239
1076 0.498141 95.474567
1077 0.145221 103.717915
1078 0.119982 105.293145
1079 0.429166 100.470822
1080 0.405563 98.863385
1081 0.291864 98.832783
1082 0.328464 98.839225
1083 0.338118 98.790906
1084 0.123538 104.901753
1085 0.17463 104.91786
1086 0.399202 101.132803
1087 0.314983 101.158574
1088 0.308348 101.139246
1089 0.283291 101.182733
1090 0.283828 101.1022
1091 0.292681 101.161795
1092 0.241164 101.142467
1093 0.200511 101.274541
1094 0.357135 101.15052
1095 0.33251 101.153742
1096 0.067311 107.006895
1097 0.091846 107.051993
1098 0.213922 106.390009
1099 0.483639 97.748811
1100 0.3126 97.243065
1101 0.47338 96.213857
1102 0.408486 96.19614
1103 0.386602 96.207414
1104 0.033039 107.388623
1105 0.197655 106.670265
1106 0.460476 97.961418
1107 0.067293 106.5849
1108 0.325379 103.492422
1109 0.499896 95.648517
1110 0.001251 107.760688
1111 0.335611 103.671206
1112 0.233111 103.695366
1113 0.040036 107.016559
1114 0.346525 102.936743
1115 0.186262 104.286479
1116 0.482739 95.700058
1117 0.147605 103.571345
1118 0.193851 103.956293
1119 0.058882 107.219503
1120 0.045667 107.865381
1121 0.210435 106.621945
1122 0.215156 106.626777
1123 0.418572 99.78146
1124 0.063222 106.737913
1125 0.371894 102.461598
1126 0.258269 102.408446
1127 0.164141 103.527857
1128 0.179043 103.508529
1129 0.452474 98.818287
1130 0.174947 102.364958
1131 0.463528 98.43495
1132 0.421912 98.426897
1133 0.113264 104.982286
1134 0.260421 104.254266
1135 0.254895 104.201114
1136 0.469654 98.032286
1137 0.062385 106.480206
1138 0.46545 98.80057
1139 0.115037 104.663375
1140 0.445652 99.789513
1141 0.03884 106.636441
1142 0.432456 100.665712
1143 0.332244 99.09532
1144 0.347339 99.079213
1145 0.264764 99.174242
1146 0.381079 99.056664
